url_path,views_total,views_unique
/xiu14/st-old-friend-mail,104,73
/xiu14/st-old-friend-mail/tree/main,5,3
/xiu14/st-old-friend-mail/tree/main/.github/workflows,3,3
/xiu14/st-old-friend-mail/blob/main/.github/workflows/repo-stats.yml,3,2
/xiu14/st-old-friend-mail/tree/github-repo-stats,3,1
/xiu14/st-old-friend-mail/blob/main/README.md,2,2
/xiu14/st-old-friend-mail/blob/main/settings.html,2,2
/xiu14/st-old-friend-mail/tree/main/.github,2,2
/xiu14/st-old-friend-mail/tree/main/assets/fonts,2,2
/xiu14/st-old-friend-mail/blob/github-repo-stats/xiu14/st-daily-memory-letter/latest-report/report.md,2,1
